Title,Company,Location,Salary,Days,Summary
Data Manager,BHU,"Varanasi, Uttar Pradesh","₹13,000 a month",6 days ago,"BHU Recruitment 2020 - Data Manager Vacancy - Salary 13,000 - Apply NowBHU Recruitment 2020-21: Employees State Insurance Corporation (BHU) announced Job…"
Manager - Data Science,TATA Capital,"Mumbai, Maharashtra",None,19 days ago,"Expertise in extracting, collating, performing data integrity checks, manipulating and analysing data.
Portfolio Segmentation/Reviews using data analytics…"
Data Analyst,Fluor Corporation,"Delhi, Delhi",None,5 days ago,"Acquire data from primary or secondary data sources and maintain databases/data systems.
Proven working experience as a data analyst or business data analyst."
Data Analytics part time job/internship at Bangalore,CueLearn,"Bengaluru, Karnataka","₹15,000 a month",9 days ago,"Understand what data is available, where, and how to pull it together, extraction and analysis of raw data for curriculum designer 2."
Data Archival- CON - BLR/HYD,Deloitte,"Bengaluru, Karnataka",None,4 days ago,"Should have experience in SQL/Oracle RDBMS Programming Should have experience Records ManagementShould have ETL (Extract, Transform, Load) experience…"
SENIOR DATA SCIENTIST,Happiest Minds Technologies,"Bengaluru, Karnataka",None,24 days ago,Should possess extensive knowledge of and experience in applying data mining and machine learning techniques on large amount of datasets.
Data Scientist,Intertrust,India,None,12 days ago,"3+ yrs exp in data science.
Experience using Python to manipulate data and draw insights from large data sets.
Should be strong in communication skills."
Data Scientist,Ericsson,"Noida, Uttar Pradesh",None,6 days ago,"Acuity for business flow understanding and expertise in data preparation-data mining and pre-processing.
Translate operator business objectives into business…"
Associate - Strategic Analytics (Data Scientist),"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",None,3 days ago,"Use modern data science and classical statistical techniques (AUC, correlation analysis, clustering analysis, hypothesis testing) to draw coherent conclusions…"
Data Scientist,Fundnel Pte Ltd,"Mumbai, Maharashtra",None,30+ days ago,"Familiarity with data engineering methodologies, including SQL, ETL and experience in manipulating data sets with structured and unstructured data using Hadoop,…"
