Title,Company,Location,Salary,Days,Summary
Data Scientist,Aeries Technology Group,"Bengaluru, Karnataka",None,7 days ago,"Develop custom data models and algorithms to apply to data sets.
The Data Engineer/Scientist will support our software developers, architects, data analysts on…"
Manager Data Science,Reliance Jio Infocomm Limited,"Hyderabad, Telangana",None,14 days ago,"Specify, design, and implement new data science applications,.
Warehousing, data management and analytic architectures.
Java/Scala, SQL, Map Reduce."
Data engineer,ASSPL - Karnataka,"Bengaluru, Karnataka",None,19 days ago,"Demonstrated strength in data modeling, ETL development, SQL and data warehousing.
Experience building/operating highly available, distributed systems of data…"
Process Specialist - Data,Cognizant,"Kolkata, West Bengal",None,9 days ago,Individuals in this role perform data entry of data received from Source documents into the respective Clinical/Safety database While peroforming this activity…
Associate Director - Data Science,CRISIL Limited,"Mumbai, Maharashtra",None,20 days ago,"At least 5 years of experience in data analytics/ data science.
Affinity for digging through data to identify trends, issues.
Proficiency in SQL, R / Python."
Data Scientist,MAKRO,"Hyderabad, Telangana",None,11 days ago,"Experience with data visualization tools.
Identify valuable data sources and automate collectionprocesses.
MEDC - Web based electronic data capture system."
Data Scientist,NTT DATA Global Delivery Services Limited,"Hyderabad, Telangana",None,1 day ago,"Experience in building data pipelines to deploy model.
Develop & Research statistical learning models for data analysis.
Strong SQL skillsets are required."
GIS Intern,WRI India,"Bengaluru, Karnataka",None,4 days ago,The GIS Intern will be a key member of WRI India’s Ross Centre for Sustainable Cities GeoAnalytics team and will work on a variety of data driven analyses…
2423 - Research Consultant,"Cytel, India",India,None,Just posted,Cytel provides unrivaled biostatistics and operations research knowledge to our customers in the life sciences industries in the form of both software and…
Python and DAta SCIENCE Developer,A2IT,"Mohali, Punjab",None,30+ days ago,A2IT is a leading software development company in Mohali Chandigarh with expertise in both Cloud-based Applications and Web applications.
Team Lead/Consultant-Data Science,Accenture,"Mumbai, Maharashtra",None,Just posted,"In the Data Science team, you will manage and analyze data in order to build data driven business insights and high impact data models to generate significant…"
Senior Data Scientist,Grab Taxi,"Bengaluru, Karnataka",None,18 days ago,"Proficient in one data science friendly programming languages like R, Python or Scala with strong capabilities in data manipulation, writing ETLs and doing data…"
Field Application Scientist - Cell Culture & Cell Therapy,Thermo Fisher Scientific,"Ahmedabad, Gujarat",None,5 days ago,"Thermo Fisher Scientific Inc. is the world leader in serving science, with revenues of more than $25 billion and approximately 75,000 employees globally."
Data Scientist,GenieTalk,"Indore, Madhya Pradesh",None,30+ days ago,"Proficiency in Python, R or Java and data science tools.
Extending company’s data with third party sources of information when needed."
Senior Data Engineer,Flipkart,"Bengaluru, Karnataka",None,20 days ago,"Data Engineer will be a hands-on person responsible for designing, prototyping and implementing data products that support a wide variety of data processing,…"
Developer,Larsen & Toubro Infotech Limited,India,None,7 days ago,"Perform in-depth development by writing complex ETL/ELT jobs, PL/SQL queries, APIs on various source systems, data marts and data warehouse support of the…"
Data Engineer,Red Hat Software,"Pune, Maharashtra",None,7 days ago,"Experience with data modeling, data warehousing, and building ETL pipelines.
Write Python scripts to massage clean data and setup a cron job to automate data…"
Big Data Engineer - Data DQMF,Standard Chartered,"Bengaluru, Karnataka",None,30+ days ago,"Exposure to data pipelines, architectures and data sets.
Keep our data separated and secure across national boundaries through multiple data-center."
Data Analyst,Stellapps Technologies,"Bengaluru, Karnataka",None,30+ days ago,"Creating data visualizations to effectively convey findings.
Experience in data models and reporting packages.
Strong verbal and written communication skills."
Data Engineer,Xpheno,"Bengaluru, Karnataka","₹15,00,000 - ₹18,00,000 a year",30+ days ago,"Data engineering concepts (ETL, near-/real-time streaming, data structures, metadata).
We are hiring for a leading Multinational Technology Company that…"
Data Scientist,Near,"Bengaluru, Karnataka",None,30+ days ago,"Must have completed academic projects in data science experimenting with raw data and generating insights, publications are a plus."
Data Science,Web Synergies,"Hyderabad, Telangana",None,30+ days ago,"Knowledge of statistical and data mining techniques, which may include data modelling, regression, time series models, clustering algorithms and others."
Intern,IBM,India,None,4 days ago,"IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition.
As a Security Analyst, you will."
Data Science for AI/Advance Analytic,Genpact,"Hyderabad, Telangana",None,30+ days ago,"Applied understanding of programming, stats, machine learning, data visualization, exploratory data analysis, model production, insight generation and data…"
Data Engineer: Big Data,IBM,"Pune, Maharashtra",None,3 days ago,"Demonstrated ability in solutioning covering data ingestion, data cleansing, ETL, data mart creation and exposing data for consumers.
What about all of these?"
AVP Analytics and Data science,Angel broking,"Mumbai, Maharashtra",None,18 days ago,"Perform data analysis through tableau and other data source and tools.
To collect data, apply analytical skills and present data analysis dashboards to…"
"Manager, Data Science",Bain & Company Inc,"Bengaluru, Karnataka",None,26 days ago,"5+ years of experience with data science and statistical analysis in a business, marketing science or social science environment in a leading company."
Data Science-Machine Learning,Accenture,"Mumbai, Maharashtra",None,30+ days ago,"In the Data Science team, you will manage and analyze data in order to build data driven business insights and high impact data models to generate significant…"
AI/ML Data Science - Intern,ZunRoof Tech,"Gurgaon, Haryana",None,30+ days ago,"Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Research data models and develop custom models and algorithms to apply…"
Senior Technician Consumer Science,Mondelēz International,"Thane, Maharashtra",None,6 days ago,"You may also assist in interpreting data and writing technical reports.
Using your fundamental understanding of data collection, you will assess for compliance…"
Data Analytics Internship,Simplify360 India Private Limited,"Bengaluru, Karnataka","₹6,500 a month",6 days ago,"Working on manual data analyses and data cleansing.
Working on a detailed qualitative and quantitative assessment of social media data 2."
Data Scientist,Coso IT,"Bengaluru, Karnataka",None,30+ days ago,Must have experience in designing and implementing machine learning or statistical models for big data analytics using Spark-ML / Tensorflow.
Engineer Separation Technology,Sartorius Corporation,"Bengaluru, Karnataka",None,Today,"Bachelor degree in Polymer science (1st Preference), Material science (2nd Preference), Mechanical engineering with polymer science or material science as focus…"
Data Engineer,Slack,Remote,None,28 days ago,"Design and build data pipelines from various cloud data sources for the enterprise data warehouse.
Own and document data pipelines and data lineage."
Trainer For Data Science,Reachmentor,"Hosur, Tamil Nadu",None,30+ days ago,"Key Skills : Tableau, Python, My SQl.
Candidate should have good analytical skill and capable to handle team management."
Data Science Lead,D Cube Analytics,"Bengaluru, Karnataka",None,30+ days ago,"Degree in applied math, statistics, machine learning or computer science.
Design, develop and deliver AI/machine learning enabled solutions for our industry…"
Associate Data Engineer,Class One Exchange,"Chennai, Tamil Nadu",None,30+ days ago,"Implement data flows and set up automation between various data sources.
You will be an enthusiastic member of the data engineering team, responsible for…"
Clinical Data Manager I,Quanticate,"Bengaluru, Karnataka",None,Just posted,"To mentor data management staff.
To pro-actively keep abreast of current data management developments and systems.
Project management for allocated projects:"
Lead Data Engineer,Numerator,"Pune, Maharashtra",None,Just posted,"Build data validation testing frameworks to ensure high data quality and integrity.
You will be using the latest cloud data warehouse technology to build robust…"
TSM- Malda,UPL ltd,"Maldah, West Bengal",None,4 days ago,"To maintain the data base of Dealers, Farmers and Villages.
Identifying the progressive farmers / potential village for Model Plot and to maintain Model plot…"
Data Analytics Internship,City Greens,"Bengaluru, Karnataka","₹12,000 - ₹20,000 a month",12 days ago,"Identifying patterns and trends in data sets.
Collecting and interpreting data from IoT device/tech 2.
City Greens is a bootstrapped start-up based out of…"
Data Scientist,"TraceLink, Inc.","Pune, Maharashtra",None,30+ days ago,"Broad knowledge of data science techniques.
We are extending our core data science team that is responsible for delivering innovative data science solutions to…"
Data Analyst_Calsoft,Calsoft,"Pune, Maharashtra",None,14 days ago,"It also involves real time data quality checks and alerts.
Excellent communication skills – ability to handle multiple client stakeholders."
DATA SCIENTIST,Alpha ICT LLP,"Pune, Maharashtra",None,30+ days ago,"Identifying additional data to be collected and third-party data sources that will help the analysis.
Experience using statistical computer languages (R, Python…"
"Engineering Manager, Data & Analytics, India – ED&A ICC",Nike,"Bengaluru, Karnataka",None,10 days ago,"Experience working with data compute technologies like EMR, Data Bricks etc.
Experience architecting and building data products using batch and streaming…"
Core Computer Science – Research Engineers – CGPA > 8,CareerXperts,"Bengaluru, Karnataka",None,30+ days ago,"Hands-on skills in cleaning, manipulating, analyzing, visualizing and modeling large data sets.
You will solve the most challenging problems belonging to…"
DA MENA - Staff,EY,"Kochi, Kerala",None,11 days ago,The role of the associate is to carry out controls-based data transformation and analytics tasks to deliver insights for the Assurance MENA clients.
GIS Analyst,WRI India,"New Delhi, Delhi","₹6,00,000 - ₹7,50,000 a year",4 days ago,"Develop data visualization dashboards, interactive web-maps, storyboards that help in communicating complex data and insights into captivating visual outputs."
Manager - Decision Science,Ola Cabs,India,None,17 days ago,Are you someone who understands the intricacies of balancing the art and science of applying machine learning and business analytics to consumer lending?
Mindshare | Partner - Data and Technology,Mindshare,"Mumbai, Maharashtra",None,4 days ago,"Designing data science-led solutions, specifically for the CRM marketing area.
You should be able to design a complete marketing solution, utilizing data…"
Jr. Data scientist,Blackstraw,"Chennai, Tamil Nadu",None,30+ days ago,"Define and develop, maintain and evolve data models, tools and capabilities.
Minimum of 1 to 3 years of experience in a related position, as a data scientist or…"
Data Scientist,GridEdge Technologies,"Pune, Maharashtra",None,30+ days ago,"Extending company’s data with third party sources of information when needed.
Enhancing data collection procedures to include information that is relevant for…"
Senior Director Platforms Data Science (AI &ML),[24]7.ai,"Bengaluru, Karnataka",None,4 days ago,"Strong knowledge in AI real-time data prediction.
Responsible for mentoring and managing a small group of data scientists who will support the platform."
CDA II,Syneos Health Clinical,"Pune, Maharashtra",None,4 days ago,"Ensures that data from external databases/datasets such as central and/or local laboratory data, electronic diary data, pharmacokinetic (PK) data, or…"
Senior Data Scientist,Bewakoof,"Bengaluru, Karnataka",None,30+ days ago,"Use relevant statistical measures such as confidence intervals, significance of error measurements, development and evaluation data sets, etc. in data science…"
Junior Data Scientist,Soothsayer Analytics,"Hyderabad, Telangana",None,30+ days ago,"Mine data to prototype models for targeting and personalization.
Having a passion for solving interesting and challenging big data problems."
[Government] Baba Farid University of Health Science May-202...,Baba Farid University of Health Science,India,"₹9,557 a month",30+ days ago,"Baba Farid University of Health Science.
Invites applications for the below posts :
Research Scientist (Medical) – 28 Posts, Pay : ₹ 65000/- per month."
Software Engineer,WELLS FARGO BANK,"Bengaluru, Karnataka",None,Just posted,"As a senior data engineer, you will be working with Wells Fargo business & data science teams to get the business data requirements, perform data engineering…"
Senior Analyst - Data Science,The Smart Cube,India,None,25 days ago,"Proficient in the analysis of both structured, unstructured data (text, image, video), and streaming (sensor) data;
Team management experience is a plus."
Senior R&D Scientist,Honeywell,"Bengaluru, Karnataka",None,20 days ago,"Data processing and coding – Handle large sets of higher dimensional data.
Strong understanding of Hyper spectral Imaging, Process real time visual IR data."
Data Entry Operator Back Office,Incube Placements,"Mumbai, Maharashtra",None,1 day ago,"The opportunity under Hcl Hiring is open for Data Entry, Arts, Science, and Commerce Graduates of 2020 batch from various streams who are aspiring to launch a…"
Python Developer – Job Code(PD,Calpine Group,"Kochi, Kerala",None,14 days ago,"Expert in Python with data analysis workflows / data science experience.
Python Developer – Job Code(PD -06).
Good programming experience & OOPs concepts."
People Data Visualization Specialist,GE Digital,"Bengaluru, Karnataka",None,18 days ago,"4+ years data visualizations experience for complex systems, tools, and data sets.
Core of this role will be on Data Visualization, Dashboarding & Storytelling,…"
Assistant Manager - Data Science,Genpact,"Bengaluru, Karnataka",None,Today,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it."
Senior Data Scientist,"Cornerstone OnDemand, Inc.","Bengaluru, Karnataka",None,11 days ago,"Perform preliminary data analysis to discover hidden correlations and come up with prototype models.
Cornerstone takes special care to ensure the security and…"
Data Science Developer,Ajira AI,"Pune, Maharashtra",None,30+ days ago,"You keep up to date with what’s happening in the data science world and know the differences between classification, regression, clustering and time series."
Software Engineer- Development (Data Engineer),Mediaocean,"Pune, Maharashtra",None,23 days ago,"Work closely with stakeholders on the data supply side (e.g. application engineers) and data demand side (e.g., BI analysts, data scientists, product managers,…"
Decision Science Analyst,Jumbotail Technologies,India,None,30+ days ago,"Experience with working with large data sets, thorough knowledge of SQL, and top data mining softwares + data viz tools like Tableau software."
Data Analyst,Netradyne,"Bengaluru, Karnataka",None,30+ days ago,"Good understanding of data bases and SQL.
Participation in online projects or competitions on data analysis.
Strong hold on python and data analysis libraries –…"
Data Analytics Internship,Innerwork Solutions Private Limited,"Bengaluru, Karnataka","₹2,000 a month",10 days ago,"Collecting and interpreting data 2.
Identifying patterns and trends in data sets.
Innerwork provides full-range human resources and IT solutions to help…"
Data Analyst,Full Potential Solutions,"Chennai, Tamil Nadu",None,13 days ago,"Spec end to end solutions across data integration/pipeline, database/data warehouse architecture, data engineering, data analytics and data science."
Data Engineer: Advanced Analytics (Quantum Computing),IBM,"Bengaluru, Karnataka",None,4 days ago,"IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition.
What about all of these?"
Data Analyst - PR,Upstox,"Mumbai, Maharashtra",None,5 days ago,Upstox (RKSV Securities India Pvt. Ltd.) is one of India's leading Discount Broking companies which enables investors and traders to trade in Stock Market and…
Data Science - Consultant,TheMathCompany,"Bengaluru, Karnataka",None,30+ days ago,"A Consultant of TheMathCompany is the face of the organization in our client engagements.
As a Consultant, you will be responsible for a wide range of things …"
Intern-DFM Data Analyst,GLOBALFOUNDRIES,"Bengaluru, Karnataka",None,10 days ago,"Big data skills: Spark/Pyspark/Scala/Spark SQL.
The intern is expected to innovate and be willing to try different things while driving clear value from…"
Associate - Data Scientist,Yash Technologies,"Hyderabad, Telangana",None,30+ days ago,"Min 1+ years of relevant experience in data analytics.
Experience in developing minimum viable product related to data analytics."
Data Engineer - Startup (1-5 yrs),Valiance Solutions,"Noida, Uttar Pradesh",None,30+ days ago,"As a Data Engineer, a part of Machine Learning team, you will be responsible for creating data-driven products using scalable machine learning platforms/APIs…"
Web/Data Analytics Internship,Unyscape Infocom Private Limited,"Noida, Uttar Pradesh","₹15,000 - ₹20,000 a month",2 days ago,"We are a digital data analytics & consulting company.
Gaining certifications like Google Analytics (basic and advance), Power BI, and many more Based on your…"
Business Analyst - Data Science,Genpact,"Bengaluru, Karnataka",None,30+ days ago,"Acquire data from primary or secondary data sources and maintain databases/data system.
Develop and implement databases, data collection systems, data analytics…"
"Consultant, Data Science and Analytics",TransUnion,"Chennai, Tamil Nadu",None,30+ days ago,We also have a modern computing environment based on best-in-class “big data” technologies and the freedom to explore new data sources and statistical and…
Research Analyst / Data Analyst,Ifim Business School,"Bengaluru, Karnataka",None,30+ days ago,"Collate, clean the data, Transform the data to a format for further analysis.
Job Requirements: Looking for a Research/Data Analyst who can work with large…"
Big Data Tech Lead,UBS,"Pune, Maharashtra",None,Just posted,"8-10 years of industry experience in analyzing source system data and data flows, working with structured and unstructured data, and delivering data and…"
Artificial Intelligence / Data Science/ Machine Learning,TATA ELXSI LTD.,India,"₹3,50,000 - ₹5,00,000 a year",30+ days ago,"TATA ELXSI Ltd. is conducting off campus drive across India for BE/B.
Tech ( All Streams)/M.E/M.
Salary : 3.5 Lacs-5 Lacs.
BE/B.Tech ( All Streams)/M.E/M."
Senior Producer-Analytics and Data Science,Zynga,"Bengaluru, Karnataka",None,30+ days ago,"Familiarity with analytics, data science, machine learning and AI.
Take on project management responsibility for machine learning, data science and analytics…"
Data Engineer (SQL and Python),Springer Nature,"Pune, Maharashtra",None,30+ days ago,"Develop predictive modelling pipelines from production to analytics to data science and back into production.
Implement cutting edge solutions to help us become…"
Scientist C,KSCSTE,"Thiruvananthapuram, Kerala","₹39,100 a month",12 days ago,"Applications, accompanied by detailed bio-data, No Objection Certificate, copies of certificates and name of three referees should reach the Member Secretary,…"
Data Scientist,BlueJeans,"Bengaluru, Karnataka",None,30+ days ago,"Very strong SQL and data visualization.
In your role as data scientist you will :
Collaborate with subject matter experts to determine relevant data sources."
Chief Data Science officer,RedLotus,"Mumbai, Maharashtra",None,30+ days ago,"Responsible for areas such as data quality, data governance, master data management, information strategy, data science, and business analytics."
Data Science Internship,Potentialloops Research And Business Consultancy,"Chennai, Tamil Nadu","₹4,000 - ₹7,000 a month",8 days ago,"Collecting and interpreting data 2.
Defining new data collection and analysis processes.
Identifying patterns and trends in data sets 5."
Senior Data Scientist,Techvantage Systems,"Thiruvananthapuram, Kerala",None,30+ days ago,We are looking for a very curious Lead data scientist who enjoys a deep dive into the raw data to help figure out the right set of questions and find the…
Data Scientist for Novo Nordisk Quality,Novo Nordisk,"Bengaluru, Karnataka",None,21 days ago,You should be able to Develop and maintain an IT platform to support data analysis and development and operationalization of data science solutions.
Data Scientist,Huron Consulting Group Inc.,"Bengaluru, Karnataka",None,10 days ago,"Tech + master’s degree in data science, mathematics, statistics, computer science or related field..
Strong experience using a variety of data mining/data…"
Spotfire Data Analyst,"Agilent Technologies, Inc.","Gurgaon, Haryana",None,19 days ago,"We provide life science, diagnostic and applied market laboratories worldwide with instruments, services, consumables, applications and expertise."
Data Engineer IV,Rackspace,"Hyderabad, Telangana",None,30+ days ago,"Knowledge or hands-on experience with data visualization and/or data sciences..
Create complex data solutions and build data pipelines."
Data Scientist,MakeMyTrip,"Bengaluru, Karnataka",None,30+ days ago,"Computer science background (at the level of data structures & algorithms) is desirable.
Also, data science modelling is closely linked to creating an…"
Data Analyst,WNS Global Services Private Limited,"Delhi, Delhi",None,2 days ago,Job DescriptionRoles and ResponsibilitiesJob DescriptionKey ResponsibilitiesReview And Interpret Exposure Data And Assess Fitness For Use For Reinsurance…
Senior Data Scientist,zeotap,"Bengaluru, Karnataka",None,30+ days ago,"Experienced in end to end data science delivery with clear fundamentals in Data Structure and Algorithms.
Big data experience is plus."
SDET I,Ola Cabs,India,None,14 days ago,"Ability to understand functional/technical specifications and analyze data and server logs.
Ø Responsible for driving test analysis through test suite code…"
Data Analytics Internship,Discover Dollar Technologies,"Bengaluru, Karnataka","₹8,000 - ₹12,000 a month",12 days ago,"Work on data wrangling and data preparation 2.
Develop algorithms to capture discrepancies through data.
Write queries to mine data and capture key insights 6."
Tableau BI Developer,Pride Technologies India,"Mumbai, Maharashtra",None,24 days ago,"Experience data modeling and transformation of large-scale data sources using SQL/ Hadoop, Spark, Hive, EMR, or other Big Data technologies."
Sr Data Scientist (Quality Testing and Statistics),HERE Technologies,"Mumbai, Maharashtra",None,18 days ago,"Interpret project objectives and requirements, and create enabling data science solutions and outcomes.
Expected to be a Subject Matter Expert (SME) on data…"
"Technology head Data science, data analytics background",Truedge Software Solutions,"Hyderabad, Telangana",None,30+ days ago,"Data science, data analytics background preferred.
Technology head Data science, data analytics background – Hyderabad.
Education background from IIT preferred."
Clinical Data Spec,IQVIA,"Bengaluru, Karnataka",None,3 days ago,"At IQVIA, we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier…"
Editor,Ashoka University,"Vasant Kunj, Delhi",None,6 days ago,"Work as standalone data stories.
From the CEDA data portal, as well as on current events using data generated from outside.
CV and writing sample(s)."
Sr Manager - III-Data Science,citius tech,"Mumbai, Maharashtra",None,30+ days ago,"15 to 20 years with last 7 years in Data Science.
NLP, Image / Video analytics, Advanced Analytics, ML Engineering, application of DS to HealthCare."
Data Scientist,NOVIQUE HEALTH,"Mumbai, Maharashtra",None,30+ days ago,"Complex data domains, especially: natural language, health data e.g. insurance claims.
Our innovations in nutritional biochemistry, data science and digital…"
Associate,GfK,"Gurgaon, Haryana",None,12 days ago,"We connect data, science and innovative digital research solutions to provide answers for key business questions around consumers, markets, brands and media."
Data Scientist III,General Mills,"Mumbai, Maharashtra",None,30+ days ago,General Mills is seeking a Data Scientist to join a new data science team in the Global Business Solutions (shared services organization) that is tasked with…
Business Analysis/Data Science,Nathan Research,"Chennai, Tamil Nadu",None,30+ days ago,"Ensuring transaction data needs and solutions.
Supporting ensuring good data related practices.
Keeping track of the current state of data models, DB structures…"
Data Engineer: Data Modeling,IBM,"Mumbai, Maharashtra",None,4 days ago,"IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition.
Mentor or coach for scrum teams."
Field Scientist / Agronomist-For Gurgaon Location,GNK E Services,"Gurgaon, Haryana","₹5,00,000 - ₹7,00,000 a year",3 days ago,"It leverages AI, Data Science, IoT & Automation in sync with plant biology, agri-science & hydrology to bring to people food that really transforms a life!"
Data Scientist - Technology Development,Micron,"Hyderabad, Telangana",None,30+ days ago,"5+ years to data science and machine learning.
Ability to extract data from different databases via SQL and other query languages and applying data cleansing,…"
State Coordinator,Bachpan Bachao Andolan,Chhattisgarh,None,10 days ago,"A post graduate in social work, law, social sciences or related fields from a recognized university.
Processing documentation, data recording and maintenance,…"
Data and Applied Scientist II,Microsoft,"Hyderabad, Telangana",None,11 days ago,"Do you have a relentless passion for data and analytics… and a desire to drive future products via keen data insights?
If so, we want to talk to you!"
"Research Intern, PhD, 2021 Start",Google,"Bengaluru, Karnataka",None,2 days ago,"From creating experiments and prototyping implementations to designing new architectures, Research Interns work on challenges in artificial intelligence,…"
Data Scientist,TransAltus Management consulting Private Limited,"Bengaluru, Karnataka",None,29 days ago,"Â€¢5+ yearsâ€™ experience in data science.
Â€¢manipulate data and draw insights from large data sets.
Â€¢Experience working with and creating data architectures…"
Clinical Data Analyst I,Parexel,"Hyderabad, Telangana",None,26 days ago,"Responsible for data cleaning and data review activities, e.g. query management.
Support data entry where required.
Perform medical coding on small studies."
Professional 2 Data Analyst,DXC,"Chennai, Tamil Nadu",None,9 days ago,"Applies data analysis or data modeling techniques to establish, modify or maintain data structures and their associated components to increase efficiency of…"
Associate - Projects,Cognizant,"Pune, Maharashtra",None,3 days ago,"Bachelors in science , engineering or equivalent.
Prepare unit test cases and test data under guidance.
Maintain version control across different configurable…"
Reporting Developer,Larsen & Toubro Infotech Limited,India,None,7 days ago,"Monitor daily application services, which include data extracts and report schedules.
Onboard new users, set up accounts and data source connections based on…"
Data Scientist,NICE Actimize,"Pune, Maharashtra",None,30+ days ago,"Conduct large-scale data analysis and develop fraud prevention predictive models for financial institutions.
Advanced degree in a quantitative area (statistics,…"
Software Analytics Internship,Aapoon Digital Private Limited,"Secunderabad, Telangana","₹5,000 a month",4 days ago,"Aapoon Digital Private Limited's office is located in Hyderabad.
Srini Katta is the founder & CEO.
The other directors are Sobhan Kumar Madupu and Lalitha Pavan…"
Staff Data Architect,Walmart,"Bengaluru, Karnataka",None,18 days ago,"Ability to write designs for data architecture of data warehouse or data lake solutions.
Design for comprehensive data quality management."
SR DATA Scientist,Larsen & Toubro Infotech Limited,India,None,30+ days ago,"Python • Machine Learning and Deep Learning • Natural Language Processing • TensorFlow, PyTorch Develops and reviews complex data analytics models, algorithms,…"
Associate Data Scientist,Gartner,"Gurgaon, Haryana",None,30+ days ago,"Leverage data science algorithms to deliver client value and ultimately improve retention of clients.
Familiar with the foundational approaches to the major…"
Decision Scientist I,Flipkart,"Bengaluru, Karnataka",None,24 days ago,"Excellent computational, programming, data management skills.
Carrying out a cost benefit comparison of various solutions, not only driven by analytical rigour…"
Data Scientist,Allerin Tech Private Limited,"Mumbai, Maharashtra",None,30+ days ago,"Conduct critical data analysis and prepare data sources to be analyzed.
Experience with any big data framework would be a plus."
Data Analyst - Activation & Retention,Upstox,"Mumbai, Maharashtra",None,6 days ago,"Advise stakeholders on campaigns, using data-based insights with the goal of efficiently achieving important metrics.
Skills required for Data Analyst."
Data Scientist,Exeliq Consulting,"Kandivali, Mumbai, Maharashtra",None,30+ days ago,"Currently we are looking for a Senior Computer Vision Engineer who is passionate about the sphere of Big Data, Data Science and AI."
"Computer Operator/Data Entry, Business Analyst",UST Global Singapore Pte Limited,"Pune, Maharashtra",None,3 days ago,Job Description : This SO is to tag the Hi-Lab resourcesWork with client to come up with appropriate use cases for anomaly detection in Claims and Provider.
Scientist-B,SCTIMST,"Thiruvananthapuram, Kerala","₹48,000 a month",9 days ago,"Interested candidates may submit their application with bio-data and self attested copies of certificates to prove age, qualifications, experience etc."
Data Analytics Internship,Vestel Telecom Services,"Chennai, Tamil Nadu","₹12,000 - ₹15,000 a month",12 days ago,"Performing sample data analysis in the Hadoop platform 3.
Writing a simple program in Python, Scala, or R for data analytics."
Specialist I/II - Data Analyst,Philips,"Bengaluru, Karnataka",None,4 days ago,"Improve data quality as per data quality framework and working with data owner.
Proven working experience as a data analyst or business data analyst."
Software Developement Engineer - Data Engineering,Zeta,"Bengaluru, Karnataka",None,Just posted,"Contributing to data modelling across various services in the data platform.
Building tools and applications that reduce manual efforts and eliminate friction…"
Data Science Developer,MSCI Inc,"Mumbai, Maharashtra",None,30+ days ago,"In depth knowledge of data structures, memory model and very well versed with object-oriented design.
The Data Technology group within MSCI is responsible for…"
"Data Science Lead – Python, AI/ML",MNF – MyNextFilm,"New Delhi, Delhi",None,30+ days ago,"Excellent quantitative skills and the ability to tell a story using data.
You must also be an effective communicator, possess a high degree of passion for…"
Sr. Data Scientist,SoulPage IT Solutions,"Hyderabad, Telangana",None,30+ days ago,Manage relationship with business stakeholders acting as embedded data scientist constantly thinking about data science solutions to make business better.
Chief Data Officer,IISc,"Bengaluru, Karnataka","₹1,50,000 a month",10 days ago,"Be responsible for data licensing and long-term preservation of data.
Perform data analysisusing statistical tools, Perform publication data analysis for…"
Senior Data Scientist,MiQ Digital,"Bengaluru, Karnataka",None,30+ days ago,"Strong Experience in delivering data science projects leveraging cloud infrastructure either in AWS or Google Cloud.
Represent over 450 Client’s Globally."
Lead Data Scientist,Crediwatch,"Bengaluru, Karnataka",None,30+ days ago,"Work closely with other Data and Analytics Teams, inclusive of data analytics, data warehousing, and data engineering teams in creating big data applications…"
Data Scientist,ZunRoof Tech,"Gurgaon, Haryana",None,30+ days ago,"To breakdown complex problems and recommend data science products.
1-7 years of work experience in data science and statistical modeling."
Clinical Scientifc Expert - I,Novartis,"Hyderabad, Telangana",None,3 days ago,"Perform high quality clinical data review and identify clinical data insights through patient level review and trends analysis, supporting Interim Analysis,…"
Data Science – Machine Learning – Engineering manager,CareerXperts,India,None,30+ days ago,"Expertise with data science, machine learning algorithms, natural language processing, computer vision.
This is a tremendous opportunity to build and grow a…"
Data Scientist Intern,zBliss Technologies,"Bengaluru, Karnataka",None,30+ days ago,"Diligence and accuracy in coding and data analysis.
Internship Cohort Team Size : 3.
Apply only if you can work full time at least for Five Months."
Senior Data Scientist,TCPWave,"Hyderabad, Telangana",None,30+ days ago,"7+ years of industry experience in predictive modelling, data science and analysis.
A senior data scientist will assist customers by being able to deliver a ML …"
Data Scientist,Foghorn Systems,"Pune, Maharashtra",None,30+ days ago,"Complex Event Processing (CEP) or other streaming data as a data source for data mining analysis.
Integrate the data mining projects embedded data mining…"
Project Trainee / Student Intern - C++ or Python,Altair Engineering,"Bengaluru, Karnataka",None,30+ days ago,"Altair is a global technology company that provides software and cloud solutions in the areas of product development, high performance computing (HPC) and data…"
Data Engineer,Priceline.com,"Mumbai, Maharashtra",None,13 days ago,"Improve upon the data ingestion models, ETL jobs, and alarming to maintain data integrity and data availability.
Why this job’s a big deal?"
Data Engineer,AlignTech,"Hyderabad, Telangana",None,Today,"Experience working with data engineers and data scientists to deliver high quality data analytics solutions.
Experience in Azure Data Factory, working with API…"
Customer Operation-Program Manager-BPO Chat,Eclerx,"Pune, Maharashtra",None,6 days ago,"Prepares performance reports by collecting, analysing, and summarizing data and trends.
Incorporated in 2000, eClerx is one of India’s leading process…"
"Data Scientist, Analytics, BI Engineer",RAACOM Infosystems,"Hyderabad, Telangana",None,30+ days ago,"If you come from a strong data analytics / data science background with technical experience across data mining & filtration, statistical data modeling – this…"
SERM Scientist,GSK,"Hyderabad, Telangana",None,7 days ago,"Fundamental knowledge of evaluation skills and analytical thinking for scientific literature review, data gathering, data synthesis, analysis and interpretation…"
